County,fips,spotted sucker,bowfin (dogfish),sauger,deepwater sculpin,sand shiner,black bullhead,lake whitefish,threespine stickleback,ninespine stickleback,channel catfish,silver redhorse,sunfish,least darter,smallmouth bass,river shiner,crappie,river redhorse,brown bullhead,logperch,bluegill,blacknose dace,alewife,central stoneroller,gizzard shad,freshwater drum,darters,shorthead redhorse,yellow bullhead,pugnose shiner,trout-perch,shiners,green sunfish,creek chub,crappie hybrid,hornyhead chub,northern sunfish,carpsucker,channel shiner,round whitefish,shortnose gar,bullhead minnow,bluntnose minnow,walleye,sea lamprey,longnose sucker,largemouth bass,mooneye,weed shiner,brook silverside,highfin carpsucker,black buffalo,bigmouth shiner,rock bass,finescale dace,rosyface shiner,minnow hybrid,longnose gar,rainbow darter,golden redhorse,river carpsucker,spotfin shiner,goldfish,suckers,brook trout,lake trout,lake sturgeon,river ruffe,northern pearl dace,lamprey,quillback,orangespotted sunfish,spoonhead sculpin,white perch,shovelnose sturgeon,iowa darter,tadpole madtom,pygmy whitefish,longnose dace,sculpin,tullibee (cisco),slimy sculpin,white crappie,chestnut lamprey,common carp,greater redhorse,brown trout,northern redbelly dace,pumpkinseed,freshwater tubenose goby,northern pike,minnows,common shiner,goldeye,river darter,carmine shiner,flathead catfish,smallmouth buffalo,banded killifish,emerald shiner,blacknose shiner,white sucker,muskellunge,splake,bloater,rainbow trout,hybrid sunfish,mottled sculpin,round goby,yellow perch,silver lamprey,blackside darter,walleye/sauger,northern hog sucker,bullheads,warmouth,northern pike-silverphase,golden shiner,central mudminnow,black crappie,bigmouth buffalo,burbot,mirror carp,lake chub,brassy minnow,johnny darter,stonecat,rainbow smelt,shortjaw cisco,blackchin shiner,brook stickleback,white bass,tiger muskellunge,cisco species,slenderhead darter,redhorse,mimic shiner,american eel,fathead minnow,buffalo,spottail shiner
Freeborn,047,0,0,0,0,0,22321,0,0,0,419,0,54,0,0,0,0,0,1,0,2479,0,0,0,0,0,0,0,186,0,0,0,4981,6,0,0,0,0,0,0,0,0,0,730,0,0,315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,1453,0,0,0,4,4,0,0,0,0,0,135,0,4770,0,0,0,2,0,450,0,8,0,0,0,0,0,9,0,0,480,0,0,0,0,167,0,0,10032,0,0,0,0,204,0,0,140,3,8903,122,0,0,0,0,18,0,0,0,0,55,0,0,0,0,0,0,0,2681,0,0
Aitkin,001,0,1825,0,0,24,2888,0,0,0,0,17,199,75,139,0,0,0,1243,62,46744,0,0,0,0,0,0,192,9806,3,0,98,64,29,0,2,0,0,0,0,0,0,3527,9769,0,0,5196,0,0,1101,0,0,0,2061,0,0,0,0,0,0,0,1,0,0,572,0,0,0,14,0,0,0,0,0,0,239,24,0,3,0,1276,0,0,0,7,0,6,0,6017,0,12503,257,1059,0,0,0,0,0,191,9,921,868,68,35,0,269,2889,23,0,11384,0,0,0,0,663,0,0,497,80,12184,42,25,0,0,1,348,0,0,0,640,3,0,0,0,0,0,27,0,17,0,910
Benton,009,0,86,0,0,0,1081,0,0,0,113,64,142,0,13,0,0,0,39,581,568,0,0,0,0,0,0,28,215,0,1,3,11,1,0,0,0,0,0,0,0,0,20,445,0,0,181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,655,0,0,0,74,0,319,0,26,0,0,0,0,0,0,0,0,2648,0,0,0,0,11,0,0,5432,0,0,0,0,0,0,0,1,0,3614,110,0,0,0,4,193,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0
Traverse,155,0,0,0,0,61,5016,0,0,0,801,0,3692,0,1,0,1482,0,2,0,10668,0,0,0,0,13691,0,113,992,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5652,0,0,172,0,0,0,0,0,1,88,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,19,711,0,0,0,3,0,0,0,0,0,0,3679,0,25546,0,0,0,0,0,670,641,49,0,0,5,0,0,0,14928,0,616,0,0,0,0,0,0,0,5768,0,0,0,0,58,0,0,0,0,4192,765,0,1,0,0,356,0,0,0,0,9079,36351,0,0,0,0,0,0,61723,0,0
Goodhue,049,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,127,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hennepin,053,0,326,0,0,0,11062,0,0,0,46,0,237,60,8,0,0,0,144,17,99020,0,0,0,134,48,0,13,1727,1,0,0,1602,41,0,0,0,0,61,0,1,1,4505,2017,0,0,2708,0,2,17,0,1,2,125,0,0,0,0,0,0,2,1125,231,0,0,0,0,0,0,0,7,3,0,0,0,21,12,0,0,0,0,0,329,0,1192,0,0,0,4028,0,4495,535,0,2,0,0,0,14,79,296,174,518,252,0,0,36,2162,0,0,13428,0,0,0,0,0,0,0,1339,56,14138,44,0,0,0,1,69,0,0,0,131,1,12,47,0,0,0,0,0,2508,0,133
Sherburne,141,0,48,0,0,0,5401,0,0,0,3,107,26,5,166,0,0,0,151,19,12574,0,0,0,0,0,0,78,1862,0,3,0,194,6,0,0,0,0,0,0,0,0,1077,1253,0,0,1176,0,0,131,0,0,0,16,0,0,0,0,0,13,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,102,0,1077,0,0,0,1270,0,1331,0,367,0,0,0,0,0,225,0,90,772,0,0,0,0,316,0,0,1645,0,0,0,0,0,0,0,716,3,3828,0,0,0,0,0,94,0,0,0,64,0,0,0,0,0,28,0,0,673,0,85
Otter Tail,111,0,1389,2,0,0,24933,0,0,0,3010,237,2,354,1741,0,0,0,6909,105,131947,1,0,0,0,147,0,577,37691,91,2,0,729,0,0,2,0,0,0,0,0,0,8012,28095,0,0,16464,10,5,0,0,0,63,9796,0,0,0,189,2,29,0,0,0,0,0,0,363,0,0,0,54,0,0,0,0,522,1,0,0,0,2415,0,0,0,1134,117,0,0,17118,0,22943,14,11,49,0,0,0,0,2254,22,1033,6828,312,0,0,14,10496,4,0,51821,0,0,0,0,0,0,0,57,38,25234,5,36,0,0,0,492,9,0,0,452,3,15,0,0,0,0,6975,0,326,0,387
Cass,021,0,2141,0,0,5736,3373,408,0,3,0,93,2825,107,2064,0,0,0,3712,8379,80843,0,0,0,0,0,0,350,12430,249,4982,4,285,17,0,3,45,0,0,0,0,0,42708,50725,0,0,21541,0,0,0,0,0,6450,14539,85364,0,0,0,0,0,0,1793,0,0,368,23,0,0,0,0,0,0,0,0,0,1625,520,0,265,2,13900,0,0,0,24,224,0,3577,12805,0,24401,37142,5210,0,0,0,0,0,8382,893,3768,26914,741,0,0,851,2324,59,0,534228,0,0,0,0,2,0,0,11455,526,12787,16,116,0,0,1431,8671,0,0,0,4350,5821,0,0,0,0,7,259595,0,178390,0,33952
Martin,091,0,0,0,0,0,23443,0,0,0,1311,0,10,0,0,0,221,0,1,0,11246,0,0,0,0,6368,0,0,307,0,0,126,352,1,0,0,0,0,0,0,0,0,18,1342,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,44,370,0,0,0,0,0,0,0,0,0,0,9447,0,4042,0,0,0,1,0,407,0,11,0,0,0,0,1,0,61,0,801,429,0,0,0,26,0,0,4932,0,12,0,0,0,0,0,153,0,9520,1346,0,0,0,0,101,0,0,0,0,0,11,0,0,0,0,0,0,2599,0,204
Becker,005,0,774,0,0,0,38569,0,0,0,4,0,632,239,812,0,0,0,15448,149,70217,0,0,0,0,0,2,119,24075,98,0,4,1190,74,0,11,7,0,0,0,0,0,4087,14217,0,0,5595,0,16,0,0,0,2,7646,2,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,509,24,0,0,0,1548,0,0,0,154,0,0,21,12680,0,18991,1771,1374,0,0,0,0,0,3141,0,10446,5633,450,0,0,260,7291,1,0,34679,0,0,0,0,1,0,0,300,194,5724,0,57,0,0,3,718,0,0,0,791,17,0,0,0,0,0,2021,0,223,0,1042
Meeker,093,0,405,0,0,0,52292,0,0,0,467,26,1618,12,428,0,0,0,120,10,27834,0,0,0,0,0,0,49,2882,0,0,11,873,0,0,0,0,0,0,0,0,0,2196,12143,0,0,9190,0,0,122,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,86,19,0,0,0,0,0,2588,0,11072,1,0,0,1589,0,5401,89,10,0,0,0,0,0,438,0,115,1150,0,0,0,0,1514,0,0,15985,0,0,0,0,1,0,0,782,29,14699,66,0,0,0,0,89,0,0,0,0,2,0,0,0,0,0,2,0,776,0,2959
Beltrami,007,0,256,0,0,0,1098,234,0,0,0,5,380,0,99,5184,0,0,2081,205,28521,0,0,0,0,1219,1,216,2462,16,784,0,104,0,0,0,48,0,0,0,0,0,1432,18973,0,0,4511,0,0,0,0,0,0,3024,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,233,8,0,165,0,1292,0,0,1,0,6,0,0,7784,0,10905,0,1163,116,0,0,0,0,686,19316,242,5863,88,0,0,39,574,107,0,44374,0,0,0,0,4,0,0,512,265,5608,4,49,0,0,9,482,0,0,0,266,13,0,0,0,0,190,1857,0,122,0,31867
St. Louis,137,0,59,1338,0,0,31685,887,0,58,559,361,165,0,13412,0,0,0,2550,1422,68222,11,21,0,0,10,3,1357,850,0,271,39,723,109,0,0,100,0,0,0,0,0,4377,53501,2,16,8276,3,0,2,0,0,0,8907,93,0,0,0,0,25,0,0,0,0,212,643,381,500,2,0,0,0,0,76,0,788,287,0,101,100,16306,76,0,0,38,0,76,1324,7649,4,22932,0,1099,0,0,0,0,0,0,555,2560,67981,972,129,0,333,1013,186,13,257529,33,4,0,0,2,0,0,5827,174,22772,4,449,0,0,9,2460,0,11101,0,155,616,0,0,1590,0,17,220,1,46929,0,4730
Roseau,135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,29,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
