County,fips,spotted sucker,bowfin (dogfish),sauger,deepwater sculpin,sand shiner,black bullhead,lake whitefish,threespine stickleback,ninespine stickleback,channel catfish,silver redhorse,sunfish,least darter,smallmouth bass,river shiner,crappie,river redhorse,brown bullhead,logperch,bluegill,blacknose dace,alewife,central stoneroller,gizzard shad,freshwater drum,darters,shorthead redhorse,yellow bullhead,pugnose shiner,trout-perch,shiners,green sunfish,creek chub,crappie hybrid,hornyhead chub,northern sunfish,carpsucker,channel shiner,round whitefish,shortnose gar,bullhead minnow,bluntnose minnow,walleye,sea lamprey,longnose sucker,largemouth bass,mooneye,weed shiner,brook silverside,highfin carpsucker,black buffalo,bigmouth shiner,rock bass,finescale dace,rosyface shiner,minnow hybrid,longnose gar,rainbow darter,golden redhorse,river carpsucker,spotfin shiner,goldfish,suckers,brook trout,lake trout,lake sturgeon,river ruffe,northern pearl dace,lamprey,quillback,orangespotted sunfish,spoonhead sculpin,white perch,shovelnose sturgeon,iowa darter,tadpole madtom,pygmy whitefish,longnose dace,sculpin,tullibee (cisco),slimy sculpin,white crappie,chestnut lamprey,common carp,greater redhorse,brown trout,northern redbelly dace,pumpkinseed,freshwater tubenose goby,northern pike,minnows,common shiner,goldeye,river darter,carmine shiner,flathead catfish,smallmouth buffalo,banded killifish,emerald shiner,blacknose shiner,white sucker,muskellunge,splake,bloater,rainbow trout,hybrid sunfish,mottled sculpin,round goby,yellow perch,silver lamprey,blackside darter,walleye/sauger,northern hog sucker,bullheads,warmouth,northern pike-silverphase,golden shiner,central mudminnow,black crappie,bigmouth buffalo,burbot,mirror carp,lake chub,brassy minnow,johnny darter,stonecat,rainbow smelt,shortjaw cisco,blackchin shiner,brook stickleback,white bass,tiger muskellunge,cisco species,slenderhead darter,redhorse,mimic shiner,american eel,fathead minnow,buffalo,spottail shiner
Kanabec,065,0,117,0,0,0,4409,0,0,0,38,11,1575,20,13,0,0,0,571,15,12219,0,0,0,0,221,0,58,298,19,2,2,153,1,0,0,0,0,0,0,0,0,21,3387,0,0,1951,0,5,0,0,0,0,44,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,13,2,74,5,0,0,450,0,1676,0,28,0,0,0,0,0,13,17,12,816,0,0,0,0,66,0,0,4818,0,0,0,2,3,0,0,1668,12,12946,0,0,0,0,0,19,0,0,0,7,0,0,0,0,0,0,0,0,1,0,154
Carlton,017,0,134,0,0,0,729,0,0,0,9,28,621,0,87,0,0,0,636,85,9339,0,0,0,0,0,0,51,929,0,0,0,32,1,0,0,0,0,0,0,0,0,456,1110,0,0,1947,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,54,33,0,2,0,1542,0,0,0,0,0,0,3,1321,0,2482,0,845,0,0,0,0,0,0,0,0,588,2,0,0,44,10,6,0,4554,0,0,0,0,0,0,0,1388,33,1728,1,3,0,0,0,129,0,0,0,9,5,0,0,0,0,0,0,0,4,0,120
Koochiching,071,0,0,448,0,0,23056,832,0,6,0,0,0,0,3805,0,0,0,1445,742,3640,1,0,0,0,0,0,14,0,0,145,559,0,1,0,0,0,0,0,0,0,0,1344,11274,0,12,579,0,0,0,0,0,0,205,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,36,1936,0,0,0,0,0,0,4,310,0,1363,0,688,0,0,0,0,0,0,5912,2157,18350,0,0,0,0,0,0,0,194866,0,0,0,0,0,0,0,576,14,5349,0,229,0,0,0,857,0,44,0,9,2,0,0,1215,0,0,3045,0,7,0,4316
Scott,139,0,65,1,0,17,5345,0,0,0,52,0,0,0,1,0,1,0,130,10,27426,3,0,0,3646,55,0,5,1423,0,0,0,1170,5,1,2,0,0,5,0,16,0,381,1297,0,0,916,0,28,0,0,0,0,0,0,0,5,0,0,0,7,204,0,0,0,0,0,0,0,0,2,225,0,0,0,13,3,0,0,0,0,0,391,0,290,0,0,0,1270,0,708,0,0,0,0,0,2,23,0,421,0,703,0,0,0,0,1965,0,0,2674,0,0,0,0,0,0,0,1518,30,15944,33,0,0,0,1,43,0,0,0,0,2,68,23,0,1,0,0,0,330,0,30
Itasca,061,0,1381,0,0,8,1376,61,0,0,0,148,222,39,2982,0,0,0,3969,37,72161,10,0,0,0,0,8,782,3086,4,12,0,258,192,0,0,11,0,0,0,0,0,6578,18187,0,0,11524,0,0,1,0,0,0,9931,977,0,0,0,0,67,0,7,0,0,8,300,0,0,0,0,0,0,0,0,0,523,52,0,27,0,7002,2,0,0,0,1,266,1950,11501,0,24129,1597,549,0,0,0,0,0,302,0,559,4685,2222,333,0,484,752,208,0,54354,0,0,0,0,1,37,0,2723,481,13118,24,38,0,0,44,549,0,2354,0,445,184,0,17,0,0,2,1683,0,1247,0,1100
Chisago,025,0,392,0,0,2,10817,0,0,0,0,0,12118,0,33,0,0,0,555,1,53330,0,0,0,0,377,0,2,878,2,0,191,422,0,0,56,0,0,0,0,0,0,2622,3421,0,0,6341,0,0,828,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,65,0,318,0,0,0,2307,0,3892,1120,306,0,0,0,0,0,344,5,42,247,304,0,0,0,883,0,0,6876,0,0,0,0,0,0,0,2445,47,17398,167,1,0,0,0,395,0,0,0,30,5,0,0,0,0,0,13,0,9,0,923
Todd,153,0,2632,0,0,0,10718,0,0,0,37,0,1380,420,340,0,0,0,3273,74,64711,0,0,0,0,0,0,17,11568,134,0,1,1129,1,0,0,0,0,0,0,0,0,1665,3766,0,0,8888,0,0,1132,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,79,0,0,0,420,0,0,0,312,6,0,0,11059,0,8944,129,30,0,0,0,0,0,593,1,293,1631,0,0,0,0,5835,3,0,7924,0,0,0,0,0,0,0,405,298,13199,2,2,0,0,2,111,0,0,0,596,24,0,0,0,0,0,12,0,25,0,91
Dakota,037,0,16,3,0,0,7358,0,0,0,66,11,1,0,51,0,26,0,57,0,25625,0,0,0,81,234,0,30,823,0,0,0,597,0,1,3,0,1,6,0,4,5,84,392,0,0,893,0,1,1,0,0,0,1,0,0,2,1,0,15,0,282,21,0,0,0,0,0,0,0,11,28,0,0,0,30,5,0,0,0,0,0,34,0,403,0,2,1,2415,0,845,0,0,0,0,0,0,3,0,1577,0,84,0,0,0,0,2695,0,0,594,0,0,0,0,0,0,0,139,6,3278,14,0,0,0,1,13,0,0,0,0,0,41,14,0,0,11,0,0,154,27,0
Blue Earth,013,0,294,1,0,0,39462,0,0,0,99,0,91,0,0,0,8,0,2,4,22185,0,0,0,1100,2872,0,1,1065,0,0,0,22,2,0,0,0,0,0,0,64,0,648,1640,0,0,1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,3,1,0,0,0,14,0,0,0,0,0,0,549,0,1479,0,0,0,53,0,1016,74,0,0,0,0,0,0,0,153,0,207,0,0,0,0,10,0,0,2806,0,0,0,0,0,0,0,1283,0,8382,41,0,0,0,0,178,0,0,0,0,4,74,0,0,0,0,0,0,539,0,1412
Polk,119,0,0,0,0,0,29683,0,0,0,0,0,0,0,0,0,0,0,3283,0,4072,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,128,985,0,0,509,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,35,0,0,0,0,0,0,0,105,0,0,0,239,0,1334,1,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,41,0,0,2666,0,0,0,0,0,0,0,13,21,1035,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1
Sibley,143,0,0,0,0,0,39110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,334,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,1,0,0,0,0,0,0,0,140,0,0,0,30,0,40,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,33,0,0,164,0,0,0,0,0,0,0,2,0,386,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kandiyohi,067,0,229,0,0,0,43267,0,0,0,129,0,361,10,822,0,2,0,1285,170,52046,0,0,0,0,1748,0,1,2878,59,0,129,964,0,0,0,0,0,0,0,30,0,4053,10154,0,0,8221,0,0,3268,0,0,0,1793,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,955,0,0,0,208,18,0,13,0,578,0,752,0,4507,0,0,0,2077,0,2812,0,38,0,0,0,0,0,553,0,79,839,1,0,0,0,3468,0,0,10693,0,0,0,0,0,0,0,325,40,10655,138,17,0,0,0,642,0,0,0,83,2,0,0,0,0,0,0,0,1234,0,1224
